calle,condicion,conjunto,uv
FREIRINA,NO,-1,3
FUCSIAS,NO,-1,2
GASPAR OLEA,NO,-1,2
GENERAL CONCHA PEDREGAL,NO,-1,13
GENERAL SAAVEDRA,NO,-1,4
GRANADEROS,NO,-1,7
GRUMETE PANTALEON CORTES,NO,-1,19
GUARD SAENZ,NO,-1,18
HACIENDA MONTALBAN,NO,-1,4
HECTOR BOCCARDO,NO,-1,3
HINOJOSA ROBLES,NO,-1,1
HUANUCO,NO,-1,2
HUASCO,NO,-1,3
HUIDOBRO,NO,-1,1
HUSARES,NO,-1,7
IGNACIO VERDUGO,NO,-1,20
INGLATERRA,NO,-1,6
ISIDORA MELERO,NO,-1,7
ISIDORO ERRAZURIZ,NO,-1,18
JOSE BISQUERT,NO,-1,20
JOSE BERSTEIN,NO,-1,20
JULIET,NO,-1,18
JULIO MOURGUES,NO,-1,4
JUSTINIANO SOTOMAYOR,NO,-1,4
LA CAMELIA,NO,-1,23
LA ESTRELLA,NO,-1,20
LA MONTANA,NO,-1,3
LA OBRA,NO,-1,7
LA PAZ,NO,-1,9
LA PRIMAVERA,NO,-1,20
LA VIÑA,NO,-1,20
LANCEROS,NO,-1,7
LARRAIN,NO,-1,13
LAS ARAUCARIAS,NO,-1,7
LAS ENREDADERAS,NO,-1,18
LAS MARGARITAS,NO,-1,19
LAS MARIPOSAS,NO,-1,9
LEONOR CEPEDA,NO,-1,8
LEY 1838,NO,-1,22
LEY 383,NO,-1,22
LEY 308,NO,-1,21
LONGITUDINAL,NO,-1,11
LONGITUDINAL CINCO,NO,-1,21
LONGITUDINAL CUATRO,NO,-1,21
LONGITUDINAL TRES,NO,-1,22
LOS ANGELES,NO,-1,12
LOS MARROQUIES,NO,-1,18
LUIS ENRIQUE MONTT,NO,-1,6
LUIS GONZALEZ,NO,-1,7
LUIS JOHNSON,NO,-1,1
LUIS WEINSTEIN,NO,-1,17
MALAQUIAS CONCHA,NO,-1,3
MANCO CAPAC,NO,-1,18
MANUEL CONTRERAS,NO,-1,19
MARCOS MACUADA,NO,-1,3
MARINO DE LOBERA,NO,-1,19
MATILDE,NO,-1,18
MOISES GUZMAN,NO,-1,4
MOISES RIOS,NO,-1,21
MONTAU,NO,-1,2
NAMUR,NO,-1,17
NICANOR OPAZO,NO,-1,19
NUEVA ANDRES BELLO,NO,-1,25
NUEVA CINCO,NO,-1,26
NUEVA COLON,NO,-1,9
NUEVA DE LOPEZ,NO,-1,8
NUEVA LOS NIDOS,NO,-1,3
NUEVA MARURI,NO,-1,8
NUEVA OCHO,NO,-1,26
NUEVA SAN CRISTOBAL,NO,-1,25
NUEVA SEIS,NO,-1,26
NUEVA SIETE,NO,-1,26
NUEVA UNO,NO,-1,26
OLIVOS,NO,-1,9
ORIENTE,NO,-1,4
PADRE JOSE CIFUENTES GREZ,NO,-1,13
PADRE LAS CASAS,NO,-1,17
PALERMO,NO,-1,3
PANTALEON VELEZ,NO,-1,2
PASAJE ADELA,NO,-1,18
PASAJE ALMERIA,NO,-1,5
PASAJE ARGENTINA,NO,-1,17
PASAJE ARQUITECTO ARANDA,NO,-1,7
PASAJE CARLOS RODRIGUEZ,NO,-1,18
PASAJE CENTRAL,NO,-1,4
PASAJE CHILE,NO,-1,17
PASAJE DOS,NO,-1,4
PASAJE EL CLAVEL,NO,-1,23
PASAJE EL LIRIO,NO,-1,23
PASAJE ESCANILLA,NO,-1,13
PASAJE INDEPENDENCIA,NO,-1,3
PASAJE LA JUSTICIA,NO,-1,3
PASAJE LA RAZON,NO,-1,3
PASAJE LAS AMAPOLAS,NO,-1,23
PASAJE LOS NIDOS,NO,-1,3
PASAJE TRES,NO,-1,1
PASCUAL LAZARTE,NO,-1,2
PASEO ORIENTE,NO,-1,8
PEATONES,NO,-1,3
PEDRO BANNEN,NO,-1,3
PEREZ COTAPOS,NO,-1,1
PICARTE,NO,-1,16
PINTOR CICARELLI,NO,-1,4
PONIENTE,NO,-1,4
PRINCIPAL,NO,-1,10
RAFAEL RAMIREZ,NO,-1,1
RAZA CHILENA,NO,-1,4
RECABARREN,NO,-1,1
REINA MARIA,NO,-1,20
REMIGIA OPAZO,NO,-1,19
RESIDENCIAL,NO,-1,9
RETIRO,NO,-1,13
RIO JACHAL,NO,-1,5
RODRIGUEZ,NO,-1,4
ROSA SALAS,NO,-1,19
ROSEMBLUTH,NO,-1,17
ROSITA,NO,-1,17
ROUGET DE LISLE,NO,-1,4
RUIZ,NO,-1,8
SALVADOR REYES,NO,-1,20
SAN ADRIAN,NO,-1,20
SAN CARLOS,NO,-1,17
SAN DANIEL,NO,-1,13
SAN JOSE,NO,-1,6
SAN LUIS,NO,-1,8
SANTIAGO ARCOS,NO,-1,17
SANTOS DUMONT,NO,-1,9
SARA GAJARDO,NO,-1,10
SEIS NORTE,NO,-1,11
SEVERINO CAZORZO,NO,-1,4
SEVILLA,NO,-1,5
SIMONA MARTINEZ,NO,-1,16
SOBERANIA,NO,-1,23
TACORA,NO,-1,20
TARMA RAMBO,NO,-1,20
TORIBIO ROBINET,NO,-1,19
TRECE NORTE,NO,-1,22
TRES DE DICIEMBRE,NO,-1,20
TRES DE MAYO,NO,-1,20
TRISTAN CORNEJO,NO,-1,2
URUGUAY,NO,-1,20
VALLENAR,NO,-1,3
VEINTE NORTE,NO,-1,22
VEINTIUNO DE MAYO,NO,-1,18
VENECIA,NO,-1,3
VICENTE IZQUIERDO,NO,-1,18
VICTORIANO STELLA,NO,-1,2
WALTER LIHN,NO,-1,7
AMUNATEGUI,PAR,0,23
AMUNATEGUI,IMPAR,0,25
BALDOMERO FLORES,IMPAR,0,11
BALDOMERO FLORES,PAR,0,12
BRAVO DE SARAVIA,IMPAR,0,19
BRAVO DE SARAVIA,PAR,0,26
CADIZ,IMPAR,0,5
CADIZ,PAR,0,8
CARLOS MEDINA,PAR,0,11
CARLOS MEDINA,IMPAR,0,12
COMANDANTE CANALES,IMPAR,0,12
COMANDANTE CANALES,PAR,0,14
EL MOLINO,PAR,0,7
EL MOLINO,IMPAR,0,25
FRANCIA,IMPAR,0,4
FRANCIA,PAR,0,6
SANTA LAURA,IMPAR,0,2
SANTA LAURA,PAR,0,4
LOS NIDOS,IMPAR,0,3
LOS NIDOS,PAR,0,5
LUIS GALDAMES,IMPAR,0,18
LUIS GALDAMES,PAR,0,19
MALAGA,IMPAR,0,5
MALAGA,PAR,0,8
OBISPO CARLOS SAN MARTIN,IMPAR,0,19
OBISPO CARLOS SAN MARTIN,PAR,0,26
CAPITAN BYNON,CONJUNTO,(1037 1068 1076 1109 1119 1125 1131 1143 1150 1164 1179 1184 1189 1197 1198 1221 1224 1238 1250 1259 1260 1277 1290),17
CAPITAN BYNON,CONJUNTO,(1321 1322),18
CAPITAN BYNON,CONJUNTO,(1205 1216 1217 1223 1228 1229 1234 1235 1240 1241 1244 1246 1252 1253 1256 1258 1259 1265 1268 1270),25
ALCALDE GERMAN DOMINGUEZ,MAYOR,1090,21
ALCALDE GERMAN DOMINGUEZ,ENTRE,800-1090,22
BELISARIO PRATS,MAYOR,1700,4
BELISARIO PRATS,MENOR,1700,6
CARRION,MAYOR,1699,7
CARRION,MENOR,1700,8
CATORCE NORTE,MAYOR,1090,21
CATORCE NORTE,ENTRE,800-1090,22
CHILLAN,ENTRE,2140-2600,18
CHILLAN,MAYOR,2600,19
CINCO NORTE,MAYOR,800,11
CINCO NORTE,MENOR,800,12
CUATRO NORTE,MAYOR,800,11
CUATRO NORTE,MENOR,800,12
DIECIOCHO NORTE,MAYOR,1090,21
DIECIOCHO NORTE,ENTRE,800-1090,22
DIECISEIS NORTE,MAYOR,1090,21 
DIECISEIS NORTE,ENTRE,800-1090,22
DIECISIETE NORTE,MAYOR,1090,21
DIECISIETE NORTE,ENTRE,800-1090,22
DOS NORTE,MAYOR,800,11
DOS NORTE,MENOR,800,12
EL PINO,MAYOR,800,11
EL PINO,MENOR,800,12
ESCANILLA,MAYOR,1800,3
ESCANILLA,ENTRE,1300-1800,5
ESCANILLA,ENTRE,900-1300,8
ESCANILLA,ENTRE,525-900,13
ESCANILLA,MENOR,525,15
SANTA MARIA,MENOR,1000,17 
SANTA MARIA,MAYOR,1000,25
TENIENTE BISSON,MAYOR,900,7
TENIENTE BISSON,MAYOR,800-900,11
TENIENTE BISSON,ENTRE,600-800,12
TENIENTE BISSON,MENOR,600,14
TRES NORTE,MAYOR,800,11
TRES NORTE,MENOR,800,12
UNO NORTE,MAYOR,800,11
UNO NORTE,MENOR,800,12
GENERAL PRIETO,MAYOR,1310,15
GENERAL PRIETO,ENTRE,1100-1310,16
GRUMETE BUSTOS,MAYOR,800,11
GRUMETE BUSTOS,ENTRE,600-800,12
GRUMETE BUSTOS,ENTRE,400-600,14
GUANACO,IGUAL,2750,1
GUANACO,ENTRE,2400-2700,2
CUANACO,MENOR,2200,4
HIPODROMO CHILE,MAYOR,1400,3
HIPODROMO CHILE,MENOR,1400,4
LAFAYETTE,MAYOR,1700,4
LAFAYETTE,MENOR,1700,6
LAS CAÑAS,MENOR,1200,17
LAS CAÑAS,MAYOR,1200,19
LASTRA,MENOR,1100,9
LASTRA,MAYOR,1300,15
LASTRA,ENTRE,1100-1300,16
LONGITUDINAL SEIS,MENOR,800,21
LONGITUDINAL SEIS,MAYOR,1200,23
CORONEL LOPEZ DE ALCAZAR,MAYOR,500,13
CORONEL LOPEZ DE ALCAZAR,PARMENOR,500,15
CORONEL LOPEZ DE ALCAZAR,IMPARMENOR,500,16
MARURI,MAYOR,1300,5
MARURI,ENTRE,900-1300,8
MARURI,ENTRE,500-900,13
MARURI,MENOR,500,16
MEXICO,MENOR,1300,4
MEXICO,MAYOR,2700,20
NAVARRETE Y LOPEZ,MAYOR,1800,3
NAVARRETE Y LOPEZ,MENOR,1800,5
NUEVA CUATRO,MENOR,1100,4
NUEVA CUATRO,MAYOR,1300,26
NUEVA DE MATTE,MENOR,2000,3
NUEVA DE MATTE,ENTRE,2000-2600,18
NUEVA DE MATTE,MAYOR,2600,19
NUEVA DOS,MENOR,1100,4
NUEVA DOR,MAYOR,1300,26
NUEVA TRES,MENOR,1100,4
NUEVA TRES,MAYOR,1300,26
PASAJE UNO,MENOR,2000,1
PASAJE UNO,MAYOR,2000,4
ANIBAL PINTO,MAYOR,1600,15
ANIBAÑ PINTO,MENOR1600,16
PROFESOR ZAÑARTU,MAYOR,1100,6
PROFESOR ZAÑARTU,MENOR,1100,9
QUINCE NORTE,MAYOR,1090,21
QUINCE NORTE,ENTRE,800-1090,22
SAN RAFAEL,MENOR,1600,13
SAN RAFAEL,MAYOR,2700,20
