STREET,UV
VICTORIANO STELLA,2
WALTER LIHN,7
ALCALDE GERMAN DOMINGUEZ,/ SI Nº es > 1090 -> UV es 21 / SI Nº es > 800 < 1090 -> UV es 22
AMUNATEGUI,/ SI Nº es PAR -> UV es 23 / SI Nº es IMPAR -> UV es 25
BALDOMERO FLORES,/ SI Nº es IMPAR -> UV es 11 / SI Nº es PAR -> UV es 12
BELISARIO PRATS,/ SI Nº es > 1700 -> UV es 4 / SI Nº es < 1700 -> UV es 6
BRAVO DE SARAVIA,/ SI Nº es IMPAR -> UV es 19 / SI Nº es PAR -> UV es 26
CADIZ,/ SI Nº es IMPAR -> UV es 5 / SI Nº es PAR -> UV es 8
CAPITAN BYNON,/ SI Nº es = (1037 1068 1076 1109 1119 1125 1131 1143 1150 1164 1179 1184 1189 1197 1198 1221 1224 1238 1250 1259 1260 1277 1290) -> UV es 17 / SI Nº es = (1321 1322) -> UV es 18 / SI Nº es = (1205 1216 1217 1223 1228 1229 1234 1235 1240 1241 1244 1246 1252 1253 1256 1258 1259 1265 1268 1270) -> UV es 25
CARLOS MEDINA,/ SI Nº es PAR -> UV es 11 / SI Nº es IMPAR -> UV es 12
CARRION,/ SI Nº es >= 1700 -> UV es 7 / SI Nº es < 1700 -> UV es 8
CATORCE NORTE,/ SI Nº es > 1090 -> UV es 21 / SI Nº es > 800 < 1090 -> UV es 22
CHILLAN,/ SI Nº es > 2140 < 2600 -> UV es 18 / SI Nº es > 2600 -> UV es 19
CINCO NORTE,/ SI Nº es > 800 -> UV es 11 / SI Nº es < 800 -> UV es 12
COMANDANTE CANALES,/ SI Nº es IMPAR -> UV es 12 / SI Nº es PAR -> UV es 14
CORONEL ALVARADO,/ SI Nº es PAR < 2600 -> UV es 18 / SI Nº es PAR > 2600 -> UV es 19 / SI Nº es IMPAR -> UV es 20
CUATRO NORTE,/ SI Nº es > 800 -> UV es 11 / SI Nº es < 800 -> UV es 12
DIECIOCHO NORTE,/ SI Nº es > 1090 -> UV es 21 / SI Nº es > 800 < 1090 -> UV es 22
DIECISEIS NORTE,/ SI Nº es > 1090 -> UV es 21 / SI Nº es > 800 < 1090 -> UV es 22
DIECISIETE NORTE,/ SI Nº es > 1090 -> UV es 21 / SI Nº es > 800 < 1090 -> UV es 22
DOMINGO SANTA MARIA,/ SI Nº es IMPAR > 1300 < 1800 -> UV es 5 / SI Nº es < 1300 -> UV es 6 / SI Nº es PAR > 1300 < 1800 -> UV es 8 / SI Nº es = (1839 2167 2177 2185 2191 2201 2215 2237 2251 2273 2305 2319 2331 2343 2355 2365 2365 2367 2377 2389 2393 2417 2435 2445 2451 2473 2481 2507 2535 2559 2565 2571 2601 2605 2609 2611 2617 2619 2627 2637 2647 2675 2691 2697 2699) -> UV es 17 / SI Nº es PAR > 2200 -> UV es 21 / SI Nº es PAR > 1970 < 2200 -> UV es 23 / SI Nº es PAR > 1800 < 1970 -> UV es 25 / SI Nº es = (2365 2401 2425 2431 2441 2459 2465 2475 2477 2483 2505 2511 2515 2519 2529 2531 2537 2543 2549 2563 2575 2577 2579 2585 2595) -> UV es 26
DOS NORTE,/ SI Nº es > 800 -> UV es 11 / SI Nº es < 800 -> UV es 12
EDUARDO FREI MONTALVA,/ SI Nº es = (2205 641 681 691 ) -> UV es 10 / SI Nº es > 1600 < 2000 -> UV es 14 / SI Nº es > 2000 -> UV es 20 / SI Nº es > 800 < 1200 -> UV es 22 / SI Nº es = 721 -> UV es 24 / SI Nº es > 1200 < 1800 -> UV es 26
EL MOLINO,/ SI Nº es PAR -> UV es 7 / SI Nº es IMPAR -> UV es 25
EL PINO,/ SI Nº es > 800 -> UV es 11 / SI Nº es < 800 -> UV es 12
ENRIQUE SORO,/ SI Nº es PAR > 1100 < 1200 -> UV es 21 / SI Nº es PAR < 1100 -> UV es 22 / SI Nº es IMPAR > 1100 < 1200 -> UV es 23 / SI Nº es IMPAR < 1100 -> UV es 24
ESCANILLA,/ SI Nº es > 1800 -> UV es 3 / SI Nº es > 1300 < 1800 -> UV es 5 / SI Nº es > 900 < 1300 -> UV es 8 / SI Nº es > 525 < 900 -> UV es 13 / SI Nº es < 525 -> UV es 15
FERMIN VIVACETA,/ SI Nº es IMPAR < 1800 -> UV es 3 / SI Nº es IMPAR > 1300 < 1800 -> UV es 5 / SI Nº es PAR > 900 > 1100 -> UV es 7 / SI Nº es IMPAR > 900 < 1300 -> UV es 8 / SI Nº es PAR > 800 < 900 -> UV es 11 / SI Nº es PAR > 600 < 800 -> UV es 12 / SI Nº es IMPAR > 600 < 900 -> UV es 13 / SI Nº es 400 600 -> UV es 14 / SI Nº es IMPAR > 400 < 600 -> UV es 15 / SI Nº es = (1092 1114 1114 1122 1128 1136 1154 1174 1198 1218 1226 1250 1264 1274 1284 1298 1310 1356 1380) -> UV es 17 / SI Nº es ( PAR > 1400 < 2400 ) -> UV es 18 /SI Nº es = (1302 1316 1320 1328) -> UV es 18 / SI Nº es PAR > 2400 -> UV es 20 / SI Nº es = (1018 1092 1108 1130 1136 1146 1190 1202 1212 1224 1230 1234 1238 1246 1246 1246 1246 1246 1246 1246 1246 1248 1258 1260 1266 1276 1288 1294) -> UV es 25
FRANCIA,/ SI Nº es IMPAR -> UV es 4 / SI Nº es PAR -> UV es 6
GAMERO,/ SI Nº es IMPAR > 1700 < 1900 -> UV es 7 / SI Nº es IMPAR > 1200 < 1700 -> UV es 8 / SI Nº es > 2700 -> UV es 10 / SI Nº es (PAR > 1700 < 1900 ) -> UV es 11 /SI Nº es ( >1800 <=2700 ) -> UV es 11 / SI Nº es PAR > 1200 < 1700 -> UV es 13 / SI Nº es > 500 < 700 -> UV es 22
GENERAL PRIETO,/ SI Nº es > 1310 -> UV es 15 / SI Nº es > 1100 < 1310 -> UV es 16
GRUMETE BUSTOS,/ SI Nº es > 800 -> UV es 11 / SI Nº es > 600 < 800 -> UV es 12 / SI Nº es > 400 < 600 -> UV es 14
GUANACO,/ SI Nº es = 2750 -> UV es 1 / SI Nº es > 2400 < 2700 -> UV es 2 / SI Nº es < 2200 -> UV es 4
HIPODROMO CHILE,/ SI Nº es > 1400 -> UV es 3 / SI Nº es < 1400 -> UV es 4
INDEPENDENCIA,/ SI Nº es IMPAR > 2700 -> UV es 1 / SI Nº es IMPAR > 2200 < 2700 -> UV es 2 / SI Nº es PAR > 1800 -> UV es 3 / SI Nº es IMPAR > 1700 < 2200 -> UV es 4 / SI Nº es PAR > 1300 < 1800 -> UV es 5 / SI Nº es IMPAR > 900 < 1700 -> UV es 6 / SI Nº es PAR > 900 < 1300 -> UV es 8 / SI Nº es IMPAR < 900 -> UV es 9 / SI Nº es PAR > 500 > 900 -> UV es 13 / SI Nº es PAR < 500 -> UV es 16
LAFAYETTE,/ SI Nº es > 1700 -> UV es 4 / SI Nº es < 1700 -> UV es 6
LAS CAÑAS,/ SI Nº es < 1200 -> UV es 17 / SI Nº es > 1200 -> UV es 19
LASTRA,/ SI Nº es < 1100 -> UV es 9 / SI Nº es > 1300 -> UV es 15 / SI Nº es > 1100 < 1300 -> UV es 16
LONGITUDINAL SEIS,/ SI Nº es < 800 -> UV es 21 / SI Nº es > 1200 -> UV es 23
CORONEL LOPEZ DE ALCAZAR,/ SI Nº es > 500 -> UV es 13 / SI Nº es PAR < 500 -> UV es 15 / SI Nº es IMPAR < 500 -> UV es 16
LOS NIDOS,/ SI Nº es IMPAR -> UV es 3 / SI Nº es PAR -> UV es 5
LUIS GALDAMES,/ SI Nº es IMPAR -> UV es 18 / SI Nº es PAR -> UV es 19
MALAGA,/ SI Nº es IMPAR -> UV es 5 / SI Nº es PAR -> UV es 8
MARURI,/ SI Nº es > 1300 -> UV es 5 / SI Nº es > 900 < 1300 -> UV es 8 / SI Nº es > 500 < 900 -> UV es 13 / SI Nº es < 500 -> UV es 16
MEXICO,/ SI Nº es < 1300 -> UV es 4 / SI Nº es > 2700 -> UV es 20
NAVARRETE Y LOPEZ,/ SI Nº es > 1800 -> UV es 3 / SI Nº es < 1800 -> UV es 5
NUEVA CUATRO,/ SI Nº es < 1100 -> UV es 4 / SI Nº es > 1300 -> UV es 26
NUEVA DE MATTE,/ SI Nº es < 2000 -> UV es 3 / SI Nº es > 2000 < 2600 -> UV es 18 / SI Nº es > 2600 -> UV es 19
NUEVA DOS,/ SI Nº es < 1100 -> UV es 4 / SI Nº es > 1300 -> UV es 26
NUEVA TRES,/ SI Nº es < 1100 -> UV es 4 / SI Nº es > 1300 -> UV es 26
OBISPO CARLOS SAN MARTIN,/ SI Nº es IMPAR -> UV es 19 / SI Nº es PAR -> UV es 26
PABLO URZUA,/ SI Nº es IMPAR -> UV es 1 / SI Nº es PAR -> UV es 2
PADRE FAUSTINO GAZZIERO,/ SI Nº es PAR -> UV es 17 / SI Nº es IMPAR < 2650 -> UV es 18 / SI Nº es IMPAR > 2650 -> UV es 19
PASAJE UNO,/ SI Nº es < 2000 -> UV es 1 / SI Nº es > 2000 -> UV es 4
ANIBAL PINTO,/ SI Nº es > 1600 -> UV es 15 / SI Nº es < 1600 -> UV es 16
PROFESOR ZAÑARTU,/ SI Nº es > 1100 -> UV es 6 / SI Nº es < 1100 -> UV es 9
QUINCE NORTE,/ SI Nº es > 1090 -> UV es 21 / SI Nº es > 800 < 1090 -> UV es 22
RIVERA,/ SI Nº es ( IMPAR < 1750 ) -> UV es 13/ SI Nº es = ( 2000 ) -> UV es 13 / SI Nº es IMPAR > 1750   -> UV es 14/ SI Nº es = ( 2006 2008 ) -> UV es 14 / SI Nº es PAR > 1600 < 2000 -> UV es 15 / SI Nº es PAR < 1600 -> UV es 16
SALOMON SACK,/ SI Nº es IMPAR > 500 -> UV es 21 / SI Nº es PAR > 500 -> UV es 22 / SI Nº es IMPAR < 500 -> UV es 23 / SI Nº es PAR < 500 -> UV es 24
SAN RAFAEL,/ SI Nº es < 1600 -> UV es 13 / SI Nº es > 2700 -> UV es 20
SANTA LAURA,/ SI Nº es IMPAR -> UV es 2 / SI Nº es PAR -> UV es 4
SANTA MARIA,/ SI Nº es < 1000 -> UV es 17 / SI Nº es > 1000 -> UV es 25
TENIENTE BISSON,/ SI Nº es > 900 -> UV es 7 / SI Nº es > 800 < 900 -> UV es 11 / SI Nº es > 600 < 800 -> UV es 12 / SI Nº es < 600 -> UV es 14
TRES NORTE,/ SI Nº es > 800 -> UV es 11 / SI Nº es < 800 -> UV es 12
UNO NORTE,/ SI Nº es > 800 -> UV es 11 / SI Nº es < 800 -> UV es 12
